Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Savolainen T.,"Savolainen, Taina (7003371609)",7003371609,Trust as leadership resource and skill in the services and tourism business: Views on managing intangibles in the digital era,2018,Proceedings of the International Conference on Tourism Research,,,,129,133,4,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118454087&partnerID=40&md5=228f4410c052a245227632dff59aa50a,Conference paper,Final,,Scopus,2-s2.0-85118454087
Pshenichnykh Y.; Novi I.,"Pshenichnykh, Yulia (57204022650); Novi, Irina (57221687947)",57204022650; 57221687947,Digital Skills Research for Tourism and Hospitality Staff,2023,International Journal of Media and Information Literacy,8,1,,178,190,12,0,10.13187/ijmil.2023.1.178,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168119754&doi=10.13187%2fijmil.2023.1.178&partnerID=40&md5=b4f0ad8da56fde943f90ddb45b424440,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85168119754
Wang L.; Li J.; Wang j.,"Wang, Lei (57070692700); Li, Jiangfeng (37561487200); Wang, Jietao (7701332538)",57070692700; 37561487200; 7701332538,Building tourism information system by using open source software,2013,Journal of Applied Sciences,13,13,,2483,2490,7,0,10.3923/jas.2013.2483.2490,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885230456&doi=10.3923%2fjas.2013.2483.2490&partnerID=40&md5=2020d6043f71878a3486f0af45343a80,Article,Final,,Scopus,2-s2.0-84885230456
Oliveira N.D.,"Oliveira, Nelson Dias (58019956000)",58019956000,The perception of tourist information sources in domestic tourism. Serra da Estrela Destination; [A PERCE€?O DAS FONTES DE INFORMA€?O TUR?STICA NO TURISMO INTERNO Destino Serra da Estrela],2022,Human Review. International Humanities Review / Revista Internacional de Humanidades,11,,,,,,0,10.37467/revhuman.v11.3988,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144135692&doi=10.37467%2frevhuman.v11.3988&partnerID=40&md5=596cfa49d225ca157c8fb2f9c07699bc,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85144135692
Widawski K.; Ole?niewicz P.,"Widawski, Krzysztof (55353610400); Ole?niewicz, Piotr (56716188000)",55353610400; 56716188000,Education in Tourism?Digital Information as a Source of Memory on the Examples of Places Related to the Holocaust in Poland during World War II,2023,Sustainability (Switzerland),15,14,10903,,,,0,10.3390/su151410903,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166172204&doi=10.3390%2fsu151410903&partnerID=40&md5=265b9708f8bc4076eddb31129e2e0570,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85166172204
Kusumawati A.,"Kusumawati, Andriani (57103637100)",57103637100,Tourism and study abroad options: The use of sources of information by Indonesian postgraduate students to choose an overseas university; [Pilihan studi luar negeri dan wisata: Penggunaan sumber informasi oleh mahasiswa pascasarjana indonesia untuk memilih universitas di luar negeri],2020,Journal of International Students,10,Special Issue 3,,1,23,22,0,10.32674/jis.v10iS3.2712,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101593881&doi=10.32674%2fjis.v10iS3.2712&partnerID=40&md5=1f88d9eed5437b650710255504694c4b,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85101593881
Park D.; Yun S.,"Park, Deukhee (57201982592); Yun, Sunmi (57209241405)",57201982592; 57209241405,"Comparing Tourism Activity Patterns Influenced by a Tourism Information Source: A Case of the Gyeonggi Province, South Korea",2023,Sustainability (Switzerland),15,4,3763,,,,0,10.3390/su15043763,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148894554&doi=10.3390%2fsu15043763&partnerID=40&md5=37742c06eac90bf7ee42cd370427aa71,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85148894554
Huete-Alcocer N.; Valero-T‚var M.?.,"Huete-Alcocer, Nuria (57195198126); Valero-T‚var, Miguel ?ngel (56340809400)",57195198126; 56340809400,Impact of information sources on promoting tourism in a rural region: The case of the roman villa of Noheda,2021,Sustainability (Switzerland),13,14,8038,,,,6,10.3390/su13148038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111386570&doi=10.3390%2fsu13148038&partnerID=40&md5=e9250aab2fcbec6948747ca1ee16b6f8,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85111386570
G¢mez-Mart¡n M.B.; Armesto-L¢pez X.A.; Mart¡nez-Ibarra E.,"G¢mez-Mart¡n, Mar¡a Bel‚n (8637785900); Armesto-L¢pez, Xos‚ Ant¢n (12770910400); Mart¡nez-Ibarra, Emilio (36644611300)",8637785900; 12770910400; 36644611300,"Tourists,weather and climate. official tourism promotion websites as a source of information",2017,Atmosphere,8,12,255,,,,12,10.3390/atmos8120255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039545152&doi=10.3390%2fatmos8120255&partnerID=40&md5=85d133ea4dce01858490459ec0eef1c2,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85039545152
Lojo A.; Timothy D.J.,"Lojo, Aureli (56898900100); Timothy, Dallen J. (7003464364)",56898900100; 7003464364,"Understanding tourism information sources: Textual communication, efficiency, and information gaps",2020,Tourism Analysis,25,1,,91,105,14,4,10.3727/108354220X15758301241675,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084134457&doi=10.3727%2f108354220X15758301241675&partnerID=40&md5=e9d59b5795dbf58dadeee11ae31be5da,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85084134457
Almeida-Santana A.; David-Negre T.; Moreno-Gil S.,"Almeida-Santana, Arminda (57193764608); David-Negre, Tatiana (57201294047); Moreno-Gil, Sergio (57190668738)",57193764608; 57201294047; 57190668738,New digital tourism ecosystem: understanding the relationship between information sources and sharing economy platforms,2020,International Journal of Tourism Cities,6,2,,335,345,10,10,10.1108/IJTC-09-2019-0173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079703381&doi=10.1108%2fIJTC-09-2019-0173&partnerID=40&md5=73f046dbe56793e104d73c36e386941a,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85079703381
de la Hoz-Correa A.; Mu¤oz-Leiva F.,"de la Hoz-Correa, Andrea (57196473217); Mu¤oz-Leiva, Francisco (9432630700)",57196473217; 9432630700,The role of information sources and image on the intention to visit a medical tourism destination: a cross-cultural analysis,2019,Journal of Travel and Tourism Marketing,36,2,,204,219,15,49,10.1080/10548408.2018.1507865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052311404&doi=10.1080%2f10548408.2018.1507865&partnerID=40&md5=0265564aa670df627ecb03334f6fcc52,Article,Final,,Scopus,2-s2.0-85052311404
Wu X.; Huang J.,"Wu, Xuefei (58317715100); Huang, Jiahui (58316864200)",58317715100; 58316864200,Construction of a rural tourism information service management system for multi-source heterogeneous data processing,2023,PeerJ Computer Science,9,,e1334,,,,1,10.7717/peerj-cs.1334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162168484&doi=10.7717%2fpeerj-cs.1334&partnerID=40&md5=2c9190d5b5100100a2302302d0af9605,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85162168484
Garcia-Haro M.A.; Martinez-Ruiz M.P.; Martinez-Ca¤as R.; Ruiz-Palomino P.,"Garcia-Haro, Maria Angeles (57100168300); Martinez-Ruiz, Maria Pilar (57393397100); Martinez-Ca¤as, Ricardo (55035318200); Ruiz-Palomino, Pablo (37064936900)",57100168300; 57393397100; 55035318200; 37064936900,Benefits of online sources of information in the tourism sector: The key role of motivation to co-create,2021,Journal of Theoretical and Applied Electronic Commerce Research,16,6,,2051,2072,21,3,10.3390/jtaer16060115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113199599&doi=10.3390%2fjtaer16060115&partnerID=40&md5=d134d86ccf88dc56155f91774c433950,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85113199599
No E.; Kim J.K.,"No, Eunjung (55505098400); Kim, Jin Ki (21234130300)",55505098400; 21234130300,Comparing the attributes of online tourism information sources,2015,Computers in Human Behavior,50,,3283,564,575,11,86,10.1016/j.chb.2015.02.063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930088355&doi=10.1016%2fj.chb.2015.02.063&partnerID=40&md5=2f1f903f825c49f33afc3ff281397b05,Article,Final,,Scopus,2-s2.0-84930088355
Reisenwitz T.H.; Fowler J.G.,"Reisenwitz, Timothy H. (56206306900); Fowler, Jie G. (56014342700)",56206306900; 56014342700,Information Sources and the Tourism Decision-making Process: An Examination of Generation X and Generation Y Consumers,2019,Global Business Review,20,6,,1372,1392,20,18,10.1177/0972150919848938,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071052539&doi=10.1177%2f0972150919848938&partnerID=40&md5=725c9563f908167de6bd4b2e24128f2a,Article,Final,,Scopus,2-s2.0-85071052539
Muslimah N.F.; Keumala S.R.,"Muslimah, N.F. (57207672595); Keumala, S.R. (57202449584)",57207672595; 57202449584,Planning in the Digital Era: Films and Social Media as Information Sources for Tourism Planning,2018,IOP Conference Series: Earth and Environmental Science,158,1,12048,,,,2,10.1088/1755-1315/158/1/012048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048450127&doi=10.1088%2f1755-1315%2f158%2f1%2f012048&partnerID=40&md5=eccdbf85e7176f69457eab9d26b53c16,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85048450127
Garc¡a-Milon A.; Juaneda-Ayensa E.; Olarte-Pascual C.; Pelegr¡n-Borondo J.,"Garc¡a-Milon, Alba (57203691375); Juaneda-Ayensa, Emma (55872369000); Olarte-Pascual, Cristina (55318848800); Pelegr¡n-Borondo, Jorge (56073905700)",57203691375; 55872369000; 55318848800; 56073905700,Towards the smart tourism destination: Key factors in information source use on the tourist shopping journey,2020,Tourism Management Perspectives,36,,100730,,,,44,10.1016/j.tmp.2020.100730,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088992878&doi=10.1016%2fj.tmp.2020.100730&partnerID=40&md5=2518d47e19bc82653123dbc2e8fc4996,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85088992878
Munar A.M.; Jacobsen J.K.S.,"Munar, Ana Mar¡a (16307676600); Jacobsen, Jens Kr. Steen (36179837700)",16307676600; 36179837700,Trust and Involvement in Tourism Social Media and Web-Based Travel Information Sources,2013,Scandinavian Journal of Hospitality and Tourism,13,1,,1,19,18,183,10.1080/15022250.2013.764511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876984564&doi=10.1080%2f15022250.2013.764511&partnerID=40&md5=8441439f90ed3a1916651d0c0221ce67,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-84876984564
Bauder M.,"Bauder, Michael (56021071000)",56021071000,Using social media as a big data source for research: The example of ambient geospatial information (AGI) in tourism geography,2017,Geographies of Digital Culture,,,,39,51,12,3,10.4324/9781315302959_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045070969&doi=10.4324%2f9781315302959_3&partnerID=40&md5=48a918611e6130dfe8aaec61b402bd90,Book chapter,Final,,Scopus,2-s2.0-85045070969
Sang W.; Ji S.; Pu B.; Phau I.,"Sang, Wenyuan (57311964800); Ji, Siyu (57311743400); Pu, Bo (56708309300); Phau, Ian (8508239600)",57311964800; 57311743400; 56708309300; 8508239600,The effect of tourism live streaming information quality and source credibility on users? continuous viewing intention: an application of elaboration likelihood model,2023,Asia Pacific Journal of Tourism Research,28,3,,177,190,13,1,10.1080/10941665.2023.2217954,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162677175&doi=10.1080%2f10941665.2023.2217954&partnerID=40&md5=8dbf0b4a1e50b1fb9b0e70c4699da982,Article,Final,,Scopus,2-s2.0-85162677175
Lemelin S.,"Lemelin, Sophie (57195602575)",57195602575,The tourism intelligence network: The quebec source for information on the evolving tourism industry,2013,Knowledge Sharing and Quality Assurance in Hospitality and Tourism,,,,147,160,13,0,10.1300/J162v07n01_09,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905762228&doi=10.1300%2fJ162v07n01_09&partnerID=40&md5=a389c0372dc8bef3be6029cdd57e0fe6,Book chapter,Final,,Scopus,2-s2.0-84905762228
Chen Y.; Zhao J.; Ding J.; Wang L.; Yuan S.,"Chen, Yitao (57226408710); Zhao, Junwei (57890004100); Ding, Jianyi (57226392430); Wang, Lei (58456892100); Yuan, Shengjun (36697455500)",57226408710; 57890004100; 57226392430; 58456892100; 36697455500,Use self-construction theory to understand Daka destination information sources and motivation impact on tourism intention,2022,Frontiers in Psychology,13,,928331,,,,0,10.3389/fpsyg.2022.928331,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138005068&doi=10.3389%2ffpsyg.2022.928331&partnerID=40&md5=7df4866455c7bc5a9ab088375dbbea6a,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85138005068
Almeida-Santana A.; Moreno-Gil S.; Boza-Chirino J.,"Almeida-Santana, Arminda (57193764608); Moreno-Gil, Sergio (57190668738); Boza-Chirino, Jos‚ (57201796777)",57193764608; 57190668738; 57201796777,Collaborative tourism in Europe: The role of travel motivations on new platforms and information sources,2020,International Journal of Business and Globalisation,24,3,,355,376,21,1,10.1504/IJBG.2020.106465,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083919268&doi=10.1504%2fIJBG.2020.106465&partnerID=40&md5=56477e58fe28850e2cd0c2fb6579e277,Article,Final,,Scopus,2-s2.0-85083919268
Antolini F.; Grassini L.,"Antolini, Fabrizio (56928109900); Grassini, Laura (55860800848)",56928109900; 55860800848,Methodological problems in the economic measurement of tourism: the need for new sources of information,2020,Quality and Quantity,54,6-May,,1769,1780,11,3,10.1007/s11135-019-00962-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077379720&doi=10.1007%2fs11135-019-00962-x&partnerID=40&md5=74a8150c9480bf1ddc0fcce3b97e0374,Article,Final,,Scopus,2-s2.0-85077379720
Nelson V.,"Nelson, Velvet (8601302300)",8601302300,Representations of a destination brand in online tourism information sources: The case of Slovenia,2014,"Tourism, Culture and Communication",14,1,,41,52,11,10,10.3727/109830414X14038917832905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941069525&doi=10.3727%2f109830414X14038917832905&partnerID=40&md5=7f7cac0d6ac33f10160292e5d8f10f2a,Article,Final,,Scopus,2-s2.0-84941069525
Li Y.; Gan H.,"Li, Yaoguang (57226678300); Gan, Hechi (57226675478)",57226678300; 57226675478,Tourism Information Data Processing Method Based on Multi-Source Data Fusion,2021,Journal of Sensors,2021,,7047119,,,,11,10.1155/2021/7047119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112281769&doi=10.1155%2f2021%2f7047119&partnerID=40&md5=b7846fa57a960590685667a0cd424ca1,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85112281769
Coromina L.; Camprub¡ R.,"Coromina, Llu¡s (23468610900); Camprub¡, Raquel (35387631600)",23468610900; 35387631600,Analysis of tourism information sources using a Mokken Scale perspective,2016,Tourism Management,56,,,75,84,9,30,10.1016/j.tourman.2016.03.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962407590&doi=10.1016%2fj.tourman.2016.03.025&partnerID=40&md5=4d8dfafc9b50ac43b2d8d04a630e1b51,Article,Final,,Scopus,2-s2.0-84962407590
Henson J.N.; Guy B.S.; Dotson M.J.,"Henson, Jennifer N. (56580476100); Guy, Bonnie S. (7005335892); Dotson, Michael J. (7003482711)",56580476100; 7005335892; 7003482711,"Should i stay or should i go?: Motivators, decision factors, and information sources influencing those predisposed to medical tourism",2015,International Journal of Healthcare Management,8,1,,4,14,10,20,10.1179/2047971914Y.0000000083,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926234395&doi=10.1179%2f2047971914Y.0000000083&partnerID=40&md5=b87f73cf4f85ca41dbf1fb17734691d9,Article,Final,,Scopus,2-s2.0-84926234395
Eus‚bio C.; Teixeira L.; Moura A.; Kastenholz E.; Carneiro M.J.,"Eus‚bio, Celeste (47961796400); Teixeira, Leonor (22434117100); Moura, Andreia (57199410674); Kastenholz, Elisabeth (6508298100); Carneiro, Maria Jo?o (36678729600)",47961796400; 22434117100; 57199410674; 6508298100; 36678729600,The Relevance of Internet as an Information Source on the Accessible Tourism Market,2021,"Smart Innovation, Systems and Technologies",208,,,120,132,12,3,10.1007/978-981-33-4256-9_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097233291&doi=10.1007%2f978-981-33-4256-9_11&partnerID=40&md5=6ec7a9c71b7ffb6fa93448379c990711,Conference paper,Final,,Scopus,2-s2.0-85097233291
Huete-Alcocer N.; Mart¡nez-Ruiz M.P.; L¢pez-Ruiz V.R.; Izquierdo-Yusta A.,"Huete-Alcocer, Nuria (57195198126); Mart¡nez-Ruiz, Mar¡a Pilar (57393397100); L¢pez-Ruiz, V¡ctor Ra£l (25632485500); Izquierdo-Yusta, Alicia (56030388600)",57195198126; 57393397100; 25632485500; 56030388600,The management of archeological sites as tourism resources: The role of information sources,2020,Destination Management and Marketing: Breakthroughs in Research and Practice,2-Feb,,,821,838,17,0,10.4018/978-1-7998-2469-5.ch045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136903038&doi=10.4018%2f978-1-7998-2469-5.ch045&partnerID=40&md5=4ed784d71bf2daca8617c5ef4c2ddcfe,Book chapter,Final,,Scopus,2-s2.0-85136903038
Lojo A.; Li M.; Xu H.,"Lojo, Aureli (56898900100); Li, Mimi (35098788900); Xu, Honggang (14049304600)",56898900100; 35098788900; 14049304600,"Online tourism destination image: components, information sources, and incongruence",2020,Journal of Travel and Tourism Marketing,37,4,,495,509,14,57,10.1080/10548408.2020.1785370,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088484059&doi=10.1080%2f10548408.2020.1785370&partnerID=40&md5=a8fd34382d201948368578c18739a34a,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85088484059
Berhanu K.; Raj S.,"Berhanu, Kassegn (57200824085); Raj, Sahil (57192094192)",57200824085; 57192094192,The trustworthiness of travel and tourism information sources of social media: perspectives of international tourists visiting Ethiopia,2020,Heliyon,6,3,e03439,,,,48,10.1016/j.heliyon.2020.e03439,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081029520&doi=10.1016%2fj.heliyon.2020.e03439&partnerID=40&md5=1fac2f64c97415dd8660d64441daecfa,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85081029520
Qiu P.; Gao J.; Lu F.,"Qiu, Peiyuan (55549551800); Gao, Jialiang (57205750105); Lu, Feng (56047937700)",55549551800; 57205750105; 56047937700,Identifying the relatedness between tourism attractions from online reviews with heterogeneous information network embedding,2021,ISPRS International Journal of Geo-Information,10,12,797,,,,1,10.3390/ijgi10120797,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120570632&doi=10.3390%2fijgi10120797&partnerID=40&md5=89f8e15c0e094bd0e435d1dafc177304,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85120570632
Alc ntara-Pilar J.M.; del Barrio-Garc¡a S.; Crespo-Almendros E.; Porcu L.,"Alc ntara-Pilar, Juan Miguel (55561222600); del Barrio-Garc¡a, Salvador (21739318800); Crespo-Almendros, Esmeralda (56082719600); Porcu, Lucia (55560599200)",55561222600; 21739318800; 56082719600; 55560599200,Toward an understanding of online information processing in e-tourism: does national culture matter?,2017,Journal of Travel and Tourism Marketing,34,8,,1128,1142,14,24,10.1080/10548408.2017.1326363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019551025&doi=10.1080%2f10548408.2017.1326363&partnerID=40&md5=8bed0358fe1d9523b8677be3bcbff397,Article,Final,,Scopus,2-s2.0-85019551025
